Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
3,0,3,3,0,3,0,0,6,50,22,19:11,1151
4,0,4,3,0,3,1,0,8,50,20,17:44,1064
0,0,0,-2,0,0,0,0,4,0,20,17:09,1029
1,0,1,1,0,1,0,0,7,14.3,18,19:36,1176
1,1,2,0,0,0,1,0,4,25,22,19:00,1140
0,0,0,-4,0,0,0,0,6,0,19,14:25,865
0,0,0,-1,2,0,0,0,4,0,20,20:44,1244
1,0,1,-1,0,0,1,1,7,14.3,16,19:45,1185
0,0,0,-1,0,0,0,0,4,0,20,17:30,1050
0,1,1,-1,2,0,0,0,3,0,23,21:32,1292
0,3,3,4,0,0,0,0,5,0,21,16:22,982
0,0,0,-1,0,0,0,0,3,0,21,18:41,1121
0,0,0,-1,0,0,0,0,2,0,20,20:08,1208
1,0,1,0,0,1,0,0,4,25,17,17:21,1041
1,0,1,1,0,0,1,0,6,16.7,20,20:49,1249
1,0,1,0,2,1,0,0,5,20,21,19:34,1174
0,1,1,0,0,0,0,0,2,0,22,21:38,1298
0,0,0,0,0,0,0,0,0,,28,23:48,1428
0,0,0,-1,2,0,0,0,8,0,25,20:31,1231
0,0,0,-1,0,0,0,0,4,0,18,16:49,1009
0,1,1,0,0,0,0,0,4,0,15,16:46,1006
0,0,0,-1,0,0,0,0,5,0,19,19:30,1170
1,0,1,1,2,1,0,0,3,33.3,21,17:05,1025
1,0,1,1,0,1,0,0,9,11.1,19,18:19,1099
3,0,3,2,0,2,1,0,4,75,22,18:44,1124
0,0,0,-2,0,0,0,0,4,0,21,21:47,1307
1,0,1,-2,0,0,1,0,4,25,21,17:27,1047
1,1,2,0,0,1,0,1,4,25,21,22:29,1349
1,3,4,3,2,1,0,1,6,16.7,19,16:55,1015
0,1,1,3,0,0,0,0,5,0,20,20:31,1231
0,0,0,-1,0,0,0,0,6,0,23,22:26,1346
0,0,0,2,0,0,0,0,2,0,17,15:18,918
1,1,2,2,0,1,0,0,4,25,21,20:45,1245
1,1,2,2,0,1,0,1,4,25,26,22:49,1369
0,0,0,0,0,0,0,0,4,0,23,19:51,1191
0,0,0,1,0,0,0,0,2,0,19,21:21,1281
